Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-HZ-A49H-01A-11D-A26I-08	1.27E-01	3.75E-01	3.68E-01	5.25E-02
TCGA-HZ-A49I-01A-12D-A26I-08	3.35E-01	9.50E-01	1.08E+00	7.06E-01
TCGA-HZ-A4BH-01A-11D-A26I-08	3.21E-01	1.45E+00	1.61E+00	9.46E-01
TCGA-HZ-A4BK-01A-11D-A26I-08	6.24E-01	1.04E+00	1.04E+00	6.75E-01
TCGA-HZ-A77O-01A-11D-A33T-08	5.21E-01	6.21E-01	6.57E-01	5.68E-01
TCGA-HZ-A77P-01A-11D-A33T-08	3.86E-01	1.02E+00	1.03E+00	4.56E-01
TCGA-HZ-A77Q-01A-11D-A36O-08	4.24E-01	1.26E+00	1.27E+00	4.45E-01
TCGA-HZ-A8P0-01A-11D-A36O-08	6.41E-01	7.93E-01	8.40E-01	5.15E-01
TCGA-HZ-A8P1-01A-11D-A377-08	3.57E-01	1.08E+00	1.07E+00	8.73E-01
TCGA-HZ-A9TJ-01A-11D-A40W-08	6.23E-01	1.66E+00	1.83E+00	9.51E-01
TCGA-IB-7644-01A-11D-2154-08	2.32E-01	5.13E-01	6.46E-01	5.41E-01
TCGA-IB-7645-01A-22D-2201-08	4.89E-01	7.25E-01	7.16E-01	3.41E-01
TCGA-IB-7646-01A-11D-2154-08	6.57E-01	1.16E+00	1.25E+00	9.01E-01
TCGA-IB-7647-01A-11D-2154-08	1.00E-02	1.12E+00	1.32E+00	6.94E-01
TCGA-IB-7649-01A-11D-2154-08	6.09E-01	8.18E-01	9.16E-01	6.69E-01
TCGA-IB-7651-01A-11D-2154-08	1.38E+02	6.88E+01	1.36E+02	8.75E-01
TCGA-IB-7652-01A-11D-2154-08	7.07E-01	1.44E+00	1.65E+00	1.12E+00
TCGA-IB-7654-01A-11D-2154-08	0.00E+00	1.02E+00	1.06E+00	5.43E-01
TCGA-IB-7885-01A-11D-2154-08	2.61E-01	7.61E-01	8.50E-01	7.39E-01
TCGA-IB-7886-01A-11D-2154-08	3.15E-01	1.14E+00	1.26E+00	6.03E-01
TCGA-IB-7887-01A-11D-2154-08	4.23E-01	6.04E-01	6.51E-01	4.99E-01
TCGA-IB-7888-01A-11D-2154-08	4.35E-01	6.04E-01	6.43E-01	4.54E-01
TCGA-IB-7889-01A-11D-2154-08	5.84E-01	1.20E+00	1.31E+00	5.37E-01
TCGA-IB-7890-01A-12D-2201-08	6.85E-01	1.54E+00	1.60E+00	7.52E-01
TCGA-IB-7891-01A-11D-2201-08	2.32E-01	7.41E-01	8.14E-01	4.10E-01
TCGA-IB-7893-01A-11D-2201-08	3.90E-01	1.05E+00	1.03E+00	4.61E-01
TCGA-IB-7897-01A-21D-2201-08	0.00E+00	1.19E-01	1.17E-01	8.56E-02
TCGA-IB-8126-01A-11D-2396-08	3.08E-01	2.85E-01	2.44E-01	2.78E-01
TCGA-IB-8127-01A-11D-2396-08	4.86E-01	1.01E+00	1.03E+00	3.59E-02
TCGA-IB-A5SO-01A-11D-A32N-08	0.00E+00	8.00E-01	8.93E-01	4.93E-01
TCGA-IB-A5SP-01A-11D-A32N-08	4.89E-01	9.26E-01	9.67E-01	7.41E-01
TCGA-IB-A5SQ-01A-11D-A32N-08	6.66E-01	7.97E-01	7.36E-01	3.87E-01
TCGA-IB-A5SS-01A-11D-A32N-08	4.28E-01	6.54E-01	7.46E-01	5.03E-01
TCGA-IB-A5ST-01A-11D-A32N-08	2.81E-02	2.65E-01	2.75E-01	1.91E-01
TCGA-IB-A6UF-01A-23D-A33T-08	1.20E-01	1.46E+00	1.52E+00	6.48E-01
TCGA-IB-A6UG-01A-32D-A33T-08	5.50E-01	1.46E+00	1.44E+00	3.50E-01
TCGA-IB-A7LX-01A-12D-A36O-08	5.07E-01	6.72E-01	1.05E+00	7.67E-01
TCGA-IB-A7M4-01A-11D-A36O-08	4.49E-01	1.17E+00	1.16E+00	7.47E-01
TCGA-IB-AAUM-01A-11D-A377-08	1.21E-01	4.02E-01	5.44E-01	3.99E-01
TCGA-IB-AAUN-01A-12D-A38G-08	4.00E-01	6.30E-01	6.96E-01	5.22E-01
