Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-FB-AAPS-01A-12D-A397-08	3.08E-01	3.17E-01	5.79E-01	3.27E-01	4.10E-01	4.71E-01	5.46E-01	2.80E-01	2.55E-01	1.13E-01
TCGA-FB-AAPU-01A-31D-A40W-08	6.96E-01	6.73E-01	6.95E-01	6.62E-01	8.19E-01	7.23E-01	7.45E-01	1.11E+00	9.29E-01	1.27E+00
TCGA-FB-AAPY-01A-11D-A40W-08	1.67E-01	3.70E-01	7.62E-01	3.47E-01	7.30E-01	5.38E-01	4.94E-01	2.66E-01	3.56E-01	2.47E-01
TCGA-FB-AAPZ-01A-11D-A40W-08	3.53E-01	5.93E-01	8.38E-01	4.59E-01	9.17E-01	6.76E-01	4.30E-01	4.70E-01	2.54E-01	1.86E-01
TCGA-FB-AAQ0-01A-31D-A40W-08	1.94E-01	3.77E-01	5.74E-01	5.34E-01	7.57E-01	7.31E-01	6.32E-01	5.32E-01	4.21E-01	4.19E-01
TCGA-FB-AAQ1-01A-12D-A40W-08	3.96E-01	2.62E-01	1.06E+00	1.87E-01	9.05E-01	9.32E-01	4.43E-01	1.79E-01	2.34E-01	4.64E-02
TCGA-FB-AAQ2-01A-31D-A40W-08	2.68E-01	3.59E-01	7.26E-01	2.95E-01	7.79E-01	8.91E-01	3.82E-01	1.45E-01	1.98E-01	6.56E-02
TCGA-FB-AAQ3-01A-11D-A40W-08	4.58E-01	6.35E-01	4.68E-01	5.78E-01	6.92E-01	4.83E-01	5.02E-01	5.16E-01	4.51E-01	3.28E-01
TCGA-FB-AAQ6-01A-11D-A40W-08	2.12E-01	6.76E-01	7.47E-01	6.07E-01	7.26E-01	7.38E-01	8.17E-01	9.08E-01	6.75E-01	5.68E-01
TCGA-FZ-5919-01A-11D-1609-08	3.30E-01	4.89E-01	5.29E-01	4.26E-01	4.49E-01	4.59E-01	4.56E-01	3.86E-01	2.82E-01	2.63E-01
TCGA-FZ-5920-01A-11D-1609-08	5.44E-01	5.73E-01	1.11E+00	3.63E-01	9.68E-01	8.34E-01	7.36E-01	5.54E-01	5.07E-01	5.33E-01
TCGA-FZ-5921-01A-11D-1609-08	3.43E-01	8.06E-01	1.22E+00	8.57E-01	1.60E+00	1.49E+00	7.47E-01	7.06E-01	3.06E-01	3.34E-01
TCGA-FZ-5922-01A-11D-1609-08	2.18E-01	4.30E-01	5.99E-01	2.44E-01	4.18E-01	6.01E-01	4.57E-01	5.74E-01	4.22E-01	5.31E-01
TCGA-FZ-5923-01A-12D-1609-08	3.86E-01	5.28E-01	1.23E+00	9.13E-01	1.27E+00	1.20E+00	8.44E-01	5.81E-01	3.74E-01	7.05E-02
TCGA-FZ-5924-01A-13D-1609-08	2.21E-01	4.46E-01	6.78E-01	4.35E-01	6.69E-01	7.27E-01	4.97E-01	2.94E-01	3.04E-01	3.32E-01
TCGA-FZ-5926-01A-11D-1609-08	6.07E-02	3.32E-01	6.23E-01	4.15E-01	5.86E-01	4.92E-01	5.18E-01	4.48E-01	3.06E-01	2.45E-01
TCGA-H6-8124-01A-11D-2396-08	1.90E-01	4.52E-01	6.58E-01	4.72E-01	6.70E-01	5.77E-01	5.82E-01	3.21E-01	3.11E-01	2.39E-01
TCGA-H6-A45N-01A-11D-A26I-08	0.00E+00	1.94E-01	2.35E-01	3.06E-01	2.06E-01	3.90E-01	3.26E-01	4.25E-01	3.97E-01	5.17E-01
TCGA-H8-A6C1-01A-11D-A32N-08	1.06E-01	2.07E-01	6.96E-01	4.18E-01	5.93E-01	5.71E-01	3.79E-01	3.00E-01	2.05E-01	1.31E-01
TCGA-HV-A5A3-01A-11D-A26I-08	4.74E-01	3.65E-01	5.82E-01	4.53E-01	5.93E-01	4.87E-01	3.72E-01	4.44E-01	3.93E-01	3.28E-01
TCGA-HV-A5A4-01A-11D-A26I-08	4.35E-01	2.52E-01	7.72E-01	4.35E-01	7.54E-01	7.93E-01	4.16E-01	2.40E-01	2.75E-01	2.50E-01
TCGA-HV-A5A5-01A-11D-A26I-08	8.25E-02	1.82E-01	3.26E-01	2.41E-01	1.84E-01	2.83E-01	4.04E-01	4.53E-01	3.50E-01	3.61E-01
TCGA-HV-A5A6-01A-11D-A26I-08	2.65E-01	5.02E-01	9.22E-01	5.53E-01	9.56E-01	6.76E-01	8.19E-01	3.74E-01	5.35E-01	2.21E-01
TCGA-HV-A7OL-01A-11D-A33T-08	2.73E-01	5.69E-01	7.28E-01	7.88E-01	9.22E-01	8.14E-01	8.64E-01	4.25E-01	4.12E-01	2.94E-01
TCGA-HV-A7OP-01A-11D-A33T-08	6.63E-01	7.92E-01	9.66E-01	9.20E-01	8.14E-01	9.18E-01	1.29E+00	1.32E+00	1.02E+00	8.96E-01
TCGA-HV-AA8V-01A-11D-A40W-08	2.31E-01	2.85E-01	5.40E-01	5.08E-01	5.43E-01	6.00E-01	5.61E-01	4.08E-01	4.67E-01	1.12E-01
TCGA-HV-AA8X-01A-11D-A397-08	6.59E-01	6.40E-01	8.27E-01	5.13E-01	6.89E-01	6.26E-01	5.01E-01	2.87E-01	3.78E-01	2.47E-01
TCGA-HZ-7289-01A-11D-2154-08	5.24E-01	1.02E+00	9.77E-01	5.96E-01	8.54E-01	1.05E+00	9.40E-01	8.28E-01	9.12E-01	6.86E-01
TCGA-HZ-7918-01A-11D-2154-08	8.55E-01	8.18E-01	7.34E-01	1.14E+00	3.11E-01	6.56E-01	7.82E-01	1.70E+00	1.42E+00	2.19E+00
TCGA-HZ-7919-01A-11D-2154-08	1.50E-01	3.62E-01	5.43E-01	5.74E-01	5.05E-01	5.19E-01	3.71E-01	8.06E-01	4.21E-01	1.12E+00
TCGA-HZ-7920-01A-11D-2201-08	2.39E-02	4.02E-02	1.71E-02	2.73E-02	2.39E-02	1.97E-02	2.56E-02	4.09E-02	3.02E-02	3.59E-02
TCGA-HZ-7922-01A-11D-2154-08	4.35E-01	3.21E-01	7.46E-01	2.49E-01	7.51E-01	8.66E-01	4.35E-01	4.14E-01	4.66E-01	2.90E-01
TCGA-HZ-7925-01A-11D-2154-08	4.26E-01	4.64E-01	5.91E-01	2.33E-01	5.41E-01	6.37E-01	5.09E-01	1.47E-01	1.73E-01	9.62E-02
TCGA-HZ-7926-01A-11D-2154-08	5.15E-01	3.76E-01	5.66E-01	4.42E-01	4.38E-01	5.21E-01	4.16E-01	4.79E-01	4.00E-01	3.74E-01
TCGA-HZ-8001-01A-11D-2201-08	4.74E-01	7.44E-01	4.84E-01	5.90E-01	6.44E-01	6.63E-01	5.53E-01	5.75E-01	5.43E-01	3.45E-01
TCGA-HZ-8002-01A-11D-2201-08	9.33E-02	1.80E-01	1.84E-01	1.45E-01	2.29E-01	2.05E-01	1.71E-01	8.63E-02	1.38E-01	1.11E-01
TCGA-HZ-8003-01A-21D-2201-08	6.52E-02	1.30E-01	2.34E-01	2.32E-01	1.81E-01	1.19E-01	3.16E-01	2.81E-01	1.34E-01	3.18E-01
TCGA-HZ-8005-01A-11D-2201-08	1.14E-01	5.97E-01	7.06E-01	5.96E-01	7.10E-01	7.49E-01	6.07E-01	4.16E-01	5.49E-01	4.96E-01
TCGA-HZ-8315-01A-11D-2396-08	1.28E-01	6.87E-01	6.20E-01	9.37E-01	9.21E-01	6.21E-01	6.62E-01	6.72E-01	2.85E-01	5.79E-01
TCGA-HZ-8317-01A-11D-2396-08	0.00E+00	1.16E-01	2.63E-01	1.80E-01	2.46E-01	2.45E-01	1.67E-01	3.00E-01	1.48E-01	2.59E-01
TCGA-HZ-8636-01A-21D-2396-08	0.00E+00	2.52E-01	8.03E-01	4.60E-01	9.94E-01	8.95E-01	5.13E-01	3.43E-01	3.35E-01	4.56E-01
TCGA-HZ-8637-01A-11D-2396-08	9.89E-02	2.72E-01	4.63E-01	4.63E-01	6.94E-01	6.42E-01	4.99E-01	3.73E-01	2.88E-01	3.31E-01
TCGA-HZ-A49H-01A-11D-A26I-08	5.49E-02	2.53E-01	2.36E-01	2.47E-01	2.69E-01	2.16E-01	2.44E-01	1.13E-01	1.04E-01	1.00E-02
TCGA-HZ-A49I-01A-12D-A26I-08	1.61E-01	3.83E-01	7.90E-01	3.27E-01	6.92E-01	8.82E-01	5.73E-01	4.06E-01	6.65E-01	3.75E-01
TCGA-HZ-A4BH-01A-11D-A26I-08	1.16E-01	7.43E-01	8.09E-01	1.04E+00	1.13E+00	9.10E-01	5.86E-01	8.89E-01	3.61E-01	4.27E-01
TCGA-HZ-A4BK-01A-11D-A26I-08	4.34E-01	4.59E-01	8.28E-01	6.12E-01	8.35E-01	6.39E-01	5.55E-01	4.43E-01	4.17E-01	4.72E-01
TCGA-HZ-A77O-01A-11D-A33T-08	2.58E-01	4.30E-01	3.90E-01	3.65E-01	4.66E-01	4.18E-01	5.13E-01	2.87E-01	3.06E-01	3.05E-01
TCGA-HZ-A77P-01A-11D-A33T-08	2.72E-01	6.21E-01	7.50E-01	3.99E-01	9.66E-01	6.51E-01	5.06E-01	3.70E-01	3.83E-01	3.38E-01
TCGA-HZ-A77Q-01A-11D-A36O-08	2.80E-01	5.92E-01	7.57E-01	4.29E-01	8.84E-01	9.48E-01	6.52E-01	3.64E-01	4.62E-01	3.30E-01
TCGA-HZ-A8P0-01A-11D-A36O-08	5.51E-01	6.03E-01	5.61E-01	4.16E-01	4.60E-01	5.96E-01	6.34E-01	2.92E-01	4.73E-01	2.75E-01
TCGA-HZ-A8P1-01A-11D-A377-08	2.49E-01	5.46E-01	6.11E-01	6.93E-01	7.60E-01	5.40E-01	6.13E-01	6.83E-01	6.30E-01	6.59E-01
TCGA-HZ-A9TJ-01A-11D-A40W-08	4.49E-01	7.37E-01	1.10E+00	8.66E-01	1.39E+00	1.29E+00	7.69E-01	8.02E-01	5.56E-01	6.28E-01
TCGA-IB-7644-01A-11D-2154-08	1.77E-01	2.65E-01	4.49E-01	3.44E-01	3.72E-01	3.76E-01	3.92E-01	4.02E-01	4.10E-01	4.69E-01
TCGA-IB-7645-01A-22D-2201-08	2.96E-01	3.74E-01	3.80E-01	3.12E-01	4.91E-01	5.40E-01	3.00E-01	3.26E-01	3.02E-01	1.18E-01
TCGA-IB-7646-01A-11D-2154-08	4.10E-01	5.70E-01	1.04E+00	5.44E-01	8.42E-01	1.03E+00	8.38E-01	5.54E-01	6.67E-01	6.32E-01
TCGA-IB-7647-01A-11D-2154-08	0.00E+00	2.99E-01	8.57E-01	5.94E-01	8.94E-01	7.63E-01	7.38E-01	6.55E-01	3.73E-01	4.58E-01
TCGA-IB-7649-01A-11D-2154-08	4.67E-01	5.29E-01	6.51E-01	3.97E-01	4.17E-01	5.74E-01	7.56E-01	4.11E-01	4.91E-01	3.53E-01
TCGA-IB-7651-01A-11D-2154-08	2.86E+02	2.13E+02	2.36E+02	1.23E+02	8.16E+01	9.13E+01	1.95E+02	5.92E+01	9.64E+01	2.38E+01
TCGA-IB-7652-01A-11D-2154-08	6.69E-01	7.52E-01	1.05E+00	8.62E-01	5.98E-01	9.81E-01	1.15E+00	8.16E-01	8.33E-01	8.79E-01
TCGA-IB-7654-01A-11D-2154-08	0.00E+00	2.43E-01	7.38E-01	4.07E-01	9.88E-01	9.62E-01	3.03E-01	4.38E-01	2.85E-01	3.85E-01
TCGA-IB-7885-01A-11D-2154-08	1.03E-01	5.38E-01	4.73E-01	5.74E-01	6.34E-01	4.71E-01	5.67E-01	4.38E-01	4.84E-01	5.96E-01
TCGA-IB-7886-01A-11D-2154-08	3.21E-01	4.98E-01	9.29E-01	5.05E-01	8.83E-01	1.02E+00	6.12E-01	5.33E-01	5.36E-01	3.83E-01
TCGA-IB-7887-01A-11D-2154-08	1.60E-01	3.82E-01	3.53E-01	3.88E-01	4.95E-01	2.88E-01	3.16E-01	2.47E-01	3.03E-01	3.61E-01
TCGA-IB-7888-01A-11D-2154-08	3.50E-01	3.76E-01	2.63E-01	3.27E-01	5.03E-01	4.32E-01	2.98E-01	3.96E-01	2.14E-01	2.67E-01
TCGA-IB-7889-01A-11D-2154-08	1.75E-01	6.73E-01	6.64E-01	7.04E-01	8.74E-01	7.79E-01	4.87E-01	4.36E-01	4.55E-01	2.32E-01
TCGA-IB-7890-01A-12D-2201-08	4.82E-01	6.70E-01	1.12E+00	4.15E-01	1.20E+00	1.11E+00	7.00E-01	5.56E-01	6.47E-01	4.49E-01
TCGA-IB-7891-01A-11D-2201-08	8.02E-02	2.71E-01	5.98E-01	1.86E-01	6.02E-01	3.85E-01	3.56E-01	3.23E-01	3.03E-01	3.08E-01
TCGA-IB-7893-01A-11D-2201-08	2.67E-01	5.09E-01	7.42E-01	3.30E-01	7.54E-01	7.31E-01	5.82E-01	4.65E-01	2.94E-01	2.87E-01
TCGA-IB-7897-01A-21D-2201-08	0.00E+00	3.71E-02	8.74E-02	1.71E-02	1.23E-01	8.15E-02	2.19E-02	7.26E-02	6.15E-02	6.13E-02
TCGA-IB-8126-01A-11D-2396-08	2.29E-01	2.78E-01	2.59E-01	4.52E-02	2.18E-01	1.88E-01	1.74E-01	2.12E-01	3.17E-01	1.23E-01
TCGA-IB-8127-01A-11D-2396-08	4.33E-01	3.71E-01	9.95E-01	3.74E-01	1.17E+00	1.11E+00	3.62E-01	1.62E-01	1.94E-01	0.00E+00
TCGA-IB-A5SO-01A-11D-A32N-08	1.00E-02	1.65E-01	5.03E-01	3.71E-01	5.55E-01	4.26E-01	2.66E-01	5.82E-01	2.99E-01	2.08E-01
TCGA-IB-A5SP-01A-11D-A32N-08	3.82E-01	5.67E-01	4.72E-01	6.21E-01	6.58E-01	5.25E-01	4.28E-01	4.25E-01	4.45E-01	4.69E-01
