Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-IB-7646-01A-11D-2154-08	4.45E-01	1.12E+00	1.02E+00	1.03E+00	9.55E-01	8.65E-01
TCGA-IB-7647-01A-11D-2154-08	4.00E-02	8.68E-01	9.59E-01	9.59E-01	7.67E-01	6.25E-01
TCGA-IB-7649-01A-11D-2154-08	5.52E-01	6.25E-01	9.21E-01	6.45E-01	6.59E-01	5.00E-01
TCGA-IB-7651-01A-11D-2154-08	2.84E+02	2.19E+02	2.60E+02	1.09E+02	1.43E+02	2.49E+01
TCGA-IB-7652-01A-11D-2154-08	6.82E-01	1.19E+00	1.47E+00	9.75E-01	1.29E+00	1.17E+00
TCGA-IB-7654-01A-11D-2154-08	0.00E+00	1.02E+00	5.03E-01	1.02E+00	5.29E-01	4.76E-01
TCGA-IB-7885-01A-11D-2154-08	1.34E-01	7.81E-01	5.57E-01	7.06E-01	7.53E-01	6.74E-01
TCGA-IB-7886-01A-11D-2154-08	3.11E-01	8.59E-01	8.42E-01	1.00E+00	7.80E-01	4.83E-01
TCGA-IB-7887-01A-11D-2154-08	3.95E-01	6.62E-01	4.70E-01	4.48E-01	3.95E-01	5.08E-01
TCGA-IB-7888-01A-11D-2154-08	4.14E-01	6.93E-01	5.32E-01	5.67E-01	4.91E-01	4.15E-01
TCGA-IB-7889-01A-11D-2154-08	2.79E-01	1.16E+00	5.04E-01	9.63E-01	6.84E-01	3.92E-01
TCGA-IB-7890-01A-12D-2201-08	6.68E-01	1.34E+00	1.20E+00	1.37E+00	5.32E-01	6.21E-01
TCGA-IB-7891-01A-11D-2201-08	1.26E-01	6.64E-01	6.50E-01	6.72E-01	2.75E-01	4.20E-01
TCGA-IB-7893-01A-11D-2201-08	3.25E-01	8.35E-01	6.67E-01	8.89E-01	5.26E-01	3.24E-01
TCGA-IB-7897-01A-21D-2201-08	0.00E+00	1.25E-01	8.59E-02	1.21E-01	4.18E-02	7.64E-02
TCGA-IB-8126-01A-11D-2396-08	3.17E-01	3.18E-01	3.52E-01	1.92E-01	2.05E-01	2.04E-01
TCGA-IB-8127-01A-11D-2396-08	5.39E-01	1.01E+00	3.97E-01	1.04E+00	4.97E-01	9.00E-02
TCGA-IB-A5SO-01A-11D-A32N-08	0.00E+00	6.61E-01	5.75E-01	6.44E-01	5.33E-01	4.56E-01
TCGA-IB-A5SP-01A-11D-A32N-08	3.43E-01	9.40E-01	6.34E-01	6.99E-01	6.52E-01	6.59E-01
TCGA-IB-A5SQ-01A-11D-A32N-08	6.83E-01	6.51E-01	6.84E-01	6.99E-01	3.46E-01	3.97E-01
TCGA-IB-A5SS-01A-11D-A32N-08	4.07E-01	5.22E-01	5.25E-01	5.38E-01	6.21E-01	5.26E-01
TCGA-IB-A5ST-01A-11D-A32N-08	2.00E-02	2.24E-01	1.73E-01	2.38E-01	2.28E-01	1.15E-01
TCGA-IB-A6UF-01A-23D-A33T-08	6.44E-02	1.26E+00	6.36E-01	1.22E+00	6.78E-01	5.07E-01
TCGA-IB-A6UG-01A-32D-A33T-08	5.16E-01	1.40E+00	7.62E-01	1.47E+00	3.10E-01	3.27E-01
TCGA-IB-A7LX-01A-12D-A36O-08	4.50E-01	6.96E-01	7.80E-01	4.46E-01	7.60E-01	6.82E-01
TCGA-IB-A7M4-01A-11D-A36O-08	3.83E-01	9.40E-01	7.81E-01	1.04E+00	7.15E-01	7.31E-01
TCGA-IB-AAUM-01A-11D-A377-08	7.85E-02	4.30E-01	3.18E-01	3.50E-01	3.71E-01	3.22E-01
TCGA-IB-AAUN-01A-12D-A38G-08	3.28E-01	6.55E-01	6.08E-01	6.09E-01	4.03E-01	4.31E-01
TCGA-IB-AAUO-01A-12D-A38G-08	6.58E-01	8.01E-01	6.42E-01	8.01E-01	5.79E-01	2.86E-01
TCGA-IB-AAUP-01A-11D-A377-08	2.81E-01	6.62E-01	3.76E-01	6.92E-01	4.16E-01	3.90E-01
TCGA-IB-AAUQ-01A-22D-A40W-08	3.73E-01	1.20E+00	1.03E+00	1.24E+00	6.45E-01	5.54E-01
TCGA-IB-AAUR-01A-21D-A38G-08	1.70E-01	8.36E-02	1.22E-01	6.52E-02	1.51E-01	7.02E-02
