Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-HZ-A49H-01A-11D-A26I-08	1.26E-01	2.85E-01	3.50E-01	2.90E-01	2.39E-01	3.15E-02	1.66E-01
TCGA-HZ-A49I-01A-12D-A26I-08	2.16E-01	9.87E-01	7.75E-01	9.40E-01	4.28E-01	4.51E-01	7.33E-01
TCGA-HZ-A4BH-01A-11D-A26I-08	2.32E-01	7.34E-01	1.48E+00	1.24E+00	1.26E+00	7.68E-01	6.63E-01
TCGA-HZ-A4BK-01A-11D-A26I-08	4.83E-01	8.30E-01	1.10E+00	9.44E-01	6.94E-01	4.68E-01	3.47E-01
TCGA-HZ-A77O-01A-11D-A33T-08	2.80E-01	5.25E-01	5.93E-01	5.03E-01	4.93E-01	3.87E-01	3.96E-01
TCGA-HZ-A77P-01A-11D-A33T-08	3.62E-01	6.65E-01	1.02E+00	1.00E+00	5.50E-01	3.38E-01	4.74E-01
TCGA-HZ-A77Q-01A-11D-A36O-08	3.43E-01	8.00E-01	1.18E+00	1.04E+00	6.23E-01	3.99E-01	6.20E-01
TCGA-HZ-A8P0-01A-11D-A36O-08	6.64E-01	7.03E-01	8.17E-01	5.87E-01	6.23E-01	3.49E-01	4.64E-01
TCGA-HZ-A8P1-01A-11D-A377-08	2.83E-01	6.63E-01	9.01E-01	8.40E-01	9.17E-01	8.18E-01	8.15E-01
TCGA-HZ-A9TJ-01A-11D-A40W-08	5.14E-01	1.15E+00	1.55E+00	1.49E+00	1.15E+00	7.47E-01	8.54E-01
TCGA-IB-7644-01A-11D-2154-08	2.00E-01	4.26E-01	4.15E-01	4.71E-01	4.70E-01	5.17E-01	4.89E-01
TCGA-IB-7645-01A-22D-2201-08	3.95E-01	4.15E-01	5.89E-01	6.83E-01	4.98E-01	2.23E-01	4.19E-01
TCGA-IB-7646-01A-11D-2154-08	4.29E-01	1.01E+00	1.10E+00	1.11E+00	7.00E-01	7.15E-01	7.28E-01
TCGA-IB-7647-01A-11D-2154-08	1.00E-02	9.15E-01	1.05E+00	1.06E+00	7.59E-01	5.87E-01	6.69E-01
TCGA-IB-7649-01A-11D-2154-08	5.32E-01	8.79E-01	6.43E-01	5.77E-01	5.79E-01	3.21E-01	7.32E-01
TCGA-IB-7651-01A-11D-2154-08	2.86E+02	3.26E+02	1.73E+02	1.05E+02	1.45E+02	2.39E-01	8.93E+01
TCGA-IB-7652-01A-11D-2154-08	7.59E-01	1.40E+00	1.00E+00	1.02E+00	9.72E-01	1.09E+00	1.31E+00
TCGA-IB-7654-01A-11D-2154-08	0.00E+00	3.72E-01	1.04E+00	1.01E+00	5.24E-01	4.74E-01	3.83E-01
TCGA-IB-7885-01A-11D-2154-08	8.01E-02	6.27E-01	8.23E-01	6.07E-01	7.20E-01	6.05E-01	6.61E-01
TCGA-IB-7886-01A-11D-2154-08	2.42E-01	9.16E-01	9.36E-01	1.12E+00	6.70E-01	4.15E-01	7.39E-01
TCGA-IB-7887-01A-11D-2154-08	3.23E-01	4.29E-01	5.75E-01	4.59E-01	4.56E-01	4.65E-01	3.87E-01
TCGA-IB-7888-01A-11D-2154-08	4.22E-01	3.42E-01	5.62E-01	5.03E-01	4.53E-01	3.24E-01	4.38E-01
TCGA-IB-7889-01A-11D-2154-08	2.43E-01	7.54E-01	1.12E+00	9.30E-01	7.18E-01	3.61E-01	4.95E-01
TCGA-IB-7890-01A-12D-2201-08	6.52E-01	1.33E+00	1.24E+00	1.28E+00	4.99E-01	5.80E-01	6.93E-01
TCGA-IB-7891-01A-11D-2201-08	1.22E-01	6.33E-01	7.49E-01	7.12E-01	2.24E-01	3.79E-01	4.11E-01
TCGA-IB-7893-01A-11D-2201-08	2.89E-01	8.60E-01	8.96E-01	8.72E-01	4.25E-01	3.14E-01	5.53E-01
TCGA-IB-7897-01A-21D-2201-08	0.00E+00	7.09E-02	1.23E-01	1.20E-01	7.46E-02	7.06E-02	7.02E-02
TCGA-IB-8126-01A-11D-2396-08	2.87E-01	2.63E-01	2.53E-01	2.17E-01	2.26E-01	2.35E-01	2.68E-01
TCGA-IB-8127-01A-11D-2396-08	4.61E-01	8.15E-01	1.09E+00	1.21E+00	3.86E-01	3.00E-02	2.51E-01
TCGA-IB-A5SO-01A-11D-A32N-08	0.00E+00	5.59E-01	6.34E-01	6.02E-01	4.46E-01	4.74E-01	4.75E-01
TCGA-IB-A5SP-01A-11D-A32N-08	3.76E-01	6.04E-01	8.56E-01	7.52E-01	6.59E-01	6.25E-01	6.35E-01
TCGA-IB-A5SQ-01A-11D-A32N-08	6.61E-01	6.26E-01	7.57E-01	7.98E-01	4.18E-01	3.97E-01	4.48E-01
TCGA-IB-A5SS-01A-11D-A32N-08	4.13E-01	5.78E-01	6.83E-01	6.63E-01	5.71E-01	3.76E-01	4.52E-01
TCGA-IB-A5ST-01A-11D-A32N-08	0.00E+00	2.19E-01	2.37E-01	2.15E-01	1.92E-01	1.01E-01	1.48E-01
TCGA-IB-A6UF-01A-23D-A33T-08	1.41E-01	8.31E-01	1.22E+00	1.15E+00	7.51E-01	5.47E-01	4.15E-01
TCGA-IB-A6UG-01A-32D-A33T-08	4.75E-01	1.09E+00	1.54E+00	1.75E+00	4.17E-01	3.08E-01	3.97E-01
TCGA-IB-A7LX-01A-12D-A36O-08	3.76E-01	7.00E-01	7.50E-01	4.06E-01	5.86E-01	6.53E-01	6.03E-01
TCGA-IB-A7M4-01A-11D-A36O-08	3.52E-01	8.02E-01	1.12E+00	1.04E+00	7.09E-01	6.57E-01	4.86E-01
TCGA-IB-AAUM-01A-11D-A377-08	1.03E-01	2.92E-01	4.02E-01	3.51E-01	3.57E-01	3.63E-01	2.94E-01
TCGA-IB-AAUN-01A-12D-A38G-08	2.27E-01	5.45E-01	6.07E-01	5.48E-01	4.44E-01	4.29E-01	3.89E-01
TCGA-IB-AAUO-01A-12D-A38G-08	6.33E-01	6.61E-01	8.50E-01	7.48E-01	5.19E-01	3.23E-01	4.80E-01
TCGA-IB-AAUP-01A-11D-A377-08	2.21E-01	5.66E-01	6.31E-01	8.02E-01	3.58E-01	4.29E-01	4.25E-01
TCGA-IB-AAUQ-01A-22D-A40W-08	3.29E-01	1.32E+00	1.15E+00	1.31E+00	5.43E-01	5.50E-01	4.19E-01
TCGA-IB-AAUR-01A-21D-A38G-08	1.55E-01	1.02E-01	6.67E-02	7.43E-02	1.19E-01	7.46E-02	1.12E-01
TCGA-IB-AAUS-01A-12D-A38G-08	0.00E+00	3.59E-02	3.49E-02	1.71E-02	4.65E-02	2.88E-02	4.51E-02
TCGA-IB-AAUT-01A-11D-A377-08	1.97E-02	3.14E-02	3.14E-02	2.73E-02	3.78E-02	4.35E-02	4.29E-02
TCGA-IB-AAUU-01A-11D-A377-08	4.51E-01	6.70E-01	8.80E-01	9.08E-01	4.96E-01	3.95E-01	2.96E-01
TCGA-IB-AAUW-01A-12D-A38G-08	0.00E+00	3.86E-02	2.73E-02	2.19E-02	2.73E-02	3.49E-02	5.02E-02
TCGA-LB-A7SX-01A-11D-A33T-08	5.39E-01	1.31E+00	2.09E+00	4.72E-01	2.54E+00	2.11E+00	1.45E+00
TCGA-LB-A8F3-01A-11D-A36O-08	1.22E-01	6.34E-01	6.60E-01	3.12E-01	7.72E-01	7.75E-01	9.40E-01
TCGA-LB-A9Q5-01A-11D-A397-08	2.55E-01	3.02E-01	3.42E-01	2.40E-01	3.80E-01	2.51E-01	2.20E-01
TCGA-M8-A5N4-01A-11D-A26I-08	2.18E-01	5.50E-01	8.79E-01	8.98E-01	4.94E-01	2.74E-01	3.47E-01
TCGA-OE-A75W-01A-12D-A32N-08	6.96E-01	1.76E+00	1.68E+00	1.44E+00	1.04E+00	8.58E-01	8.85E-01
TCGA-PZ-A5RE-01A-11D-A32N-08	2.50E-01	4.06E-01	5.51E-01	6.04E-01	4.12E-01	2.92E-01	3.35E-01
TCGA-Q3-A5QY-01A-12D-A32N-08	0.00E+00	8.10E-02	6.86E-02	9.03E-02	5.61E-02	2.97E-02	5.61E-02
TCGA-Q3-AA2A-01A-11D-A377-08	4.18E-01	4.31E-01	3.71E-01	4.19E-01	2.55E-01	3.10E-01	2.38E-01
TCGA-RB-A7B8-01A-12D-A33T-08	3.80E-01	9.21E-01	1.02E+00	1.13E+00	4.06E-01	4.01E-01	6.31E-01
TCGA-RB-AA9M-01A-11D-A397-08	3.22E-01	4.40E-01	6.44E-01	5.23E-01	5.02E-01	2.38E-01	2.32E-01
TCGA-S4-A8RM-01A-11D-A377-08	3.66E-01	9.44E-01	8.07E-01	9.26E-01	3.91E-01	4.26E-01	5.53E-01
TCGA-S4-A8RO-01A-12D-A377-08	6.13E-01	6.46E-01	1.39E+00	1.38E+00	6.18E-01	3.07E-01	5.89E-01
TCGA-S4-A8RP-01A-11D-A36O-08	2.41E-01	7.03E-01	5.75E-01	3.31E-01	7.20E-01	4.25E-01	7.35E-01
TCGA-US-A774-01A-21D-A32N-08	3.06E-01	4.84E-01	4.69E-01	5.09E-01	4.48E-01	1.97E-01	3.23E-01
TCGA-US-A776-01A-13D-A33T-08	7.62E-01	1.22E+00	1.16E+00	1.25E+00	7.33E-01	7.93E-01	8.29E-01
TCGA-US-A779-01A-11D-A32N-08	2.89E-01	6.56E-01	5.42E-01	5.33E-01	3.34E-01	4.17E-01	5.19E-01
TCGA-US-A77E-01A-11D-A32N-08	1.24E-01	1.32E+00	1.53E+00	1.70E+00	9.87E-01	4.44E-01	8.13E-01
TCGA-US-A77G-01A-11D-A32N-08	4.07E-01	7.04E-01	6.83E-01	6.08E-01	4.88E-01	3.67E-01	5.26E-01
TCGA-XD-AAUG-01A-61D-A40W-08	2.42E-01	3.20E-01	3.71E-01	2.77E-01	3.94E-01	2.78E-01	3.99E-01
TCGA-XD-AAUH-01A-42D-A40W-08	3.01E-01	2.74E-01	2.59E-01	2.32E-01	2.88E-01	2.43E-01	3.22E-01
TCGA-XD-AAUI-01A-42D-A40W-08	3.74E-01	7.30E-01	7.12E-01	6.91E-01	5.89E-01	2.19E-01	3.58E-01
TCGA-XD-AAUL-01A-21D-A397-08	1.84E-01	7.90E-01	7.05E-01	6.56E-01	4.01E-01	5.33E-01	5.13E-01
TCGA-XN-A8T3-01A-11D-A36O-08	5.13E-01	7.23E-01	8.27E-01	8.55E-01	3.82E-01	2.44E-01	5.04E-01
TCGA-XN-A8T5-01A-12D-A36O-08	0.00E+00	3.04E-01	2.78E-01	2.76E-01	3.74E-01	3.05E-01	3.36E-01
TCGA-YB-A89D-01A-12D-A36O-08	2.88E-01	4.12E-01	6.20E-01	4.31E-01	5.94E-01	3.65E-01	3.33E-01
TCGA-YH-A8SY-01A-11D-A377-08	4.46E-01	1.18E+00	1.26E+00	1.27E+00	5.50E-01	4.17E-01	5.94E-01
TCGA-YY-A8LH-01A-11D-A36O-08	4.23E-01	9.28E-01	1.14E+00	8.86E-01	6.33E-01	6.43E-01	7.95E-01
TCGA-Z5-AAPL-01A-12D-A40W-08	2.23E-02	2.36E-01	1.69E-01	2.21E-01	1.39E-01	2.03E-01	1.91E-01
